                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.66534,                 0.7918,                0.58729,                0.94517,                0.67093,                0.73077,                0.73229,                0.53107,                0.61778,                0.67308,                0.67289,                0.48733,                0.84681,                 1.3832,                 1.0325,                 1.0317,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65455,                0.72574,                0.58416,                0.95313,                0.63003,                0.65385,                0.66829,                0.50816,                0.63003,                0.65385,                0.65236,                0.47938,                0.89869,                 1.6253,                 1.0006,                 1.0533,               0.001505,               0.001505,               0.001505
                     27,                0.65845,                0.74137,                0.56713,                0.92839,                0.82285,                0.53604,                 0.6321,                0.49884,                0.82285,                0.53604,                0.63203,                0.43665,                0.75706,                 1.2681,                 1.0998,                 0.9745,              0.0014852,              0.0014852,              0.0014852
                     28,                0.66063,                0.77988,                0.57155,                0.93837,                 0.5576,                0.67874,                0.58557,                0.42658,                0.48486,                0.61538,                0.46899,                0.35503,                0.89278,                 1.1393,                 1.3926,                 1.0118,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.6358,                0.72408,                0.54607,                0.93597,                0.66422,                0.69231,                0.66569,                0.50079,                0.66422,                0.69231,                0.66569,                0.41805,                0.81522,                 1.3371,                 1.3625,                 1.0168,              0.0014456,              0.0014456,              0.0014456
                     30,                0.64121,                0.74151,                0.55236,                0.92353,                0.72705,                0.78846,                0.76219,                0.52186,                0.72705,                0.78846,                0.75582,                0.43157,                0.84539,                0.95494,                 1.1335,                0.96601,              0.0014258,              0.0014258,              0.0014258
                     31,                  0.617,                0.68863,                0.52639,                0.91706,                0.86602,                0.71154,                0.77934,                 0.5348,                0.79512,                0.65385,                0.65201,                0.46104,                0.83859,                 1.4421,                 1.2136,                 0.9861,               0.001406,               0.001406,               0.001406
                     32,                0.63674,                0.71512,                0.51979,                0.91796,                 0.7479,                0.80769,                0.79274,                0.56848,                 0.7479,                0.80769,                0.79552,                0.54973,                0.77323,                0.89071,                0.89984,                0.95264,              0.0013862,              0.0013862,              0.0013862
                     33,                0.61113,                0.69592,                0.51021,                0.92318,                0.77877,                   0.75,                  0.731,                0.50887,                0.73883,                0.71154,                0.68499,                0.46693,                0.81101,                 1.2043,                 1.0851,                0.94834,              0.0013664,              0.0013664,              0.0013664
                     34,                0.60211,                0.67388,                0.49989,                0.92733,                  0.789,                0.73077,                 0.7505,                0.56466,                 0.8014,                0.63462,                0.68743,                0.45924,                0.75877,                  1.306,                0.90975,                0.94811,              0.0013466,              0.0013466,              0.0013466
                     35,                0.62501,                0.68284,                0.51717,                0.92703,                0.87235,                 0.6572,                0.72647,                 0.5479,                0.84716,                0.63964,                0.67988,                0.43484,                0.79668,                 1.0681,                 1.1678,                0.97166,              0.0013268,              0.0013268,              0.0013268
                     36,                0.62141,                0.73599,                0.49867,                0.91621,                0.82685,                0.82649,                0.80918,                0.60496,                0.76829,                0.76923,                0.74181,                0.50115,                0.70336,                 1.2789,                 0.7323,                0.92031,               0.001307,               0.001307,               0.001307
                     37,                0.57728,                0.69423,                0.47762,                0.89929,                0.83127,                0.75806,                0.77739,                0.54077,                0.76823,                0.70127,                0.67873,                0.43397,                0.84421,                 1.5913,                0.92849,                0.96625,              0.0012872,              0.0012872,              0.0012872
                     38,                0.61199,                0.64967,                0.48226,                0.92584,                0.81958,                   0.75,                0.80803,                0.61437,                 0.7983,                0.73077,                0.76512,                0.51807,                 0.7216,                 1.2138,                0.86366,                0.91377,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58391,                0.68839,                0.47608,                0.92267,                0.77435,                0.79197,                0.79882,                0.58018,                0.73877,                   0.75,                0.71834,                0.43574,                0.69697,                 1.2541,                0.98684,                0.91911,              0.0012476,              0.0012476,              0.0012476
                     40,                0.57199,                0.66549,                0.45771,                0.89992,                0.87522,                0.80935,                 0.8811,                0.64807,                0.85464,                0.79153,                0.82884,                0.58957,                0.69294,                 1.1736,                0.80727,                0.89615,              0.0012278,              0.0012278,              0.0012278
                     41,                0.56994,                0.65597,                0.46018,                0.91151,                0.79745,                0.75721,                0.84266,                0.64051,                0.75771,                0.72178,                0.77885,                 0.5702,                0.72285,                 1.2114,                 0.7706,                0.90986,               0.001208,               0.001208,               0.001208
                     42,                0.58127,                  0.645,                0.45556,                0.91312,                0.89784,                0.84509,                0.87723,                0.69252,                0.87743,                  0.826,                0.84709,                0.61165,                0.66151,                0.95218,                0.64558,                0.90272,              0.0011882,              0.0011882,              0.0011882
